ID,FOREST,MANGROVE_FOREST,PRIVATE_FOREST,WATER_BODIES,PADDY_FIELDS/KHAZAN,ORCHARD,NATURAL_COVER,CULTIVABLE,SALT_PANS,FISH_FARM/MUD_FLATS,SETTLEMENT,INSTITUTIONAL,INDUSTRY,MIZ,TRANSPORTATION,MISC,UGS,UA (in %)
1,0,3.42,0,13.24,44.2,5.2,0,0,0,0,31.47,0.15,0,0,2.32,0,269.9516705,5.200259235
2,0,0,0,3.44,21.39,4.88,10.58,1.87,0,0,55.21,0,0,0,2.64,0,167.3308427,6.749565217
3,0,0.17,6.18,2.68,22.99,7.98,16.52,2.3,4.13,0,35.51,0,0,0,1.54,0,,
4,0,0,23.5,8.08,0,10.76,23.84,0.47,0,0,30.19,1.25,0,0,1.91,0,,
5,0,6.41,0,4.39,12.93,31.15,12.14,1.67,0,0,26.7,0.95,0.86,0.89,1.89,0,,
6,0,8.31,0,6.18,49.06,0.73,5.66,1.86,0,0,24.8,0.52,0.24,0,2.64,0,,
7,0,0.17,0,2.4,2.81,35.06,9.64,0.26,1.25,0,46.24,0.44,0,0,1.71,0,83.24402607,36.56369427
8,0,2,0,15.83,7.12,28.56,21.92,0,0,0,22.79,0,0,0.67,1.1,0,,
9,0,6.63,0,8.2,8.72,7.47,18.1,2.12,0,0,45.47,0.13,0,0.54,2.62,0,319.2470588,9.593446602
10,0,4.33,0,10.41,12.21,25.18,1.18,10.3,0,0,20.84,6.96,5.61,0,2.98,0,334.6201743,35.46396841
11,0,0,0,4.94,56.81,0.88,2.36,0.38,0,0,31.27,0,0.22,0,3.15,0,59.92851469,1.258454106
12,0,3.21,0,13.5,27.3,1.28,2.61,0,0,0,50.79,0,0,0,1.31,0,177.1342173,1.276649746
13,0,0,6.21,0.39,7.4,1.08,16.95,0,0,0,51.48,0.71,0,1,14.77,0,,
14,0,0,0,8.6,6.74,32.05,25.77,16.08,0,0,9.45,0,0,0,1.31,0,,
15,0,2.87,0,16.01,23.78,11.29,5.63,0,6.51,0,30.14,2.47,0,0,1.31,0,216.6798889,17.79147982
16,0,8.91,0,5.89,33.14,8.38,16.01,0.09,0,0,26.26,0.15,0,0,1.18,0,,
17,0,0,0,0.94,48.72,2.14,15.92,1.03,0,0,29.95,0.2,0,0,1.09,0,,
18,0,0,11.02,17.99,2.6,2.61,5.04,0,0,0,50.28,7.68,0.1,0,2.68,0,111.8172337,2.611111111
19,0,3,2.5,4.03,19.23,10.96,9.72,0,1.56,0,39.35,0.23,5.95,0,3.46,0,218.4005118,12.51183766
20,0,0,0,1.55,10.82,45.3,11.9,15.73,0,0,13.93,0.02,0,0,0.75,0,,
21,0,0.6,8.6,5.94,19.12,16.78,27.35,0,0,0,19.93,0,0,0,1.68,0,,
22,0,0,11.03,13.62,5.31,19.36,14.67,0,0,0,33.05,0.07,0.14,0,2.75,0,246.193965,19.37103175
23,0,0,0,5.19,12.88,28.63,5.16,23.95,0,0,19.31,0.49,0,0.35,4.04,0,,
24,0,0,0,0.89,40.24,7.89,18.51,0.09,0,0,26.78,3.49,0,0,2.11,0,185.6050955,7.978369384
25,0,3.85,7.28,12.94,19.85,0.91,30.87,0,0.05,0,21.37,0.1,0.77,0.32,1.7,0,1060.646477,0.9544715447
26,0,0,0,2.72,46.13,1.62,9.41,0.46,0,0,36.36,0.19,0.1,0,3.02,0,,
27,0,0,3.3,1.85,18.52,3.05,36.18,7.81,0,0,26.03,0.51,0.35,1.03,1.38,0,,
28,0,1.21,0.39,4.11,17.12,5.87,26,2.07,0,0,41.36,0.14,0.41,0,1.32,0,330.4041697,7.935908692
29,0,0.85,0,2.41,9.83,29.5,5.67,2.84,0,0,41.75,0.39,0.74,0,6.03,0,,
30,0,0,5.25,1.35,21.25,8.66,23.07,0,0,0,36.93,0.17,0.25,0,3.07,0,287.8447474,8.654952077
31,0,5.1,0.76,6.64,21.37,18.05,1.68,13.15,0,0,28.09,1.82,0.25,0.26,2.84,0,,
32,0,1.32,0,8.04,36.54,15.21,5.62,0,0,0,30.59,0.38,0.38,1.03,1.65,0,,
33,0,0,0.51,0.7,29.39,6.13,20.26,0.25,0,0,41.25,0,0,0,1.52,0,,
34,0,0,0,2.4,13.1,34.17,0,0,0,0,36.49,3.27,2.5,0,8.08,0,6.814373953,34.16725352
1,0,0,0,1.58,8.32,21.53,40,16.45,0,0,10.02,0,0.03,0,2.07,0,,
2,0,3.73,0,17.33,33.73,10.73,4.86,0,0,0,12.44,0,15.85,0,1.33,0,,
3,3.76,0,0,3.8,11.86,39.94,28.74,0,0,0,10.51,0,0,0,1.39,0,,
4,0,0,0,2.56,15.81,11.27,24.94,10.96,0,0,27.99,0.51,4.55,0.21,1.2,0,498.83337,22.22876214
5,2.83,0,0.17,3.17,6.04,35.79,28.87,11.77,0,0,9.15,0.08,1.29,0.12,0.74,0,,
6,5.55,0.56,0,2.54,16.37,16.04,35.44,6.83,0,0,14.84,0.57,0,0.28,0.99,0,,
7,3.18,0,0,9.04,14.05,13.3,40.75,8.45,0,0,6.2,0.31,3.73,0.37,0.62,0,,
8,0,0,0,1.67,13.19,36.91,25.19,10.88,0,0,10.93,0.15,0,0,1.08,0,,
9,0,2,0,10.49,19.92,11.17,38.53,0,0,0,14.27,0.02,0.44,0.43,2.73,0,,
10,0,0,0,7.12,11.71,31.41,9.27,1.45,0,0,9.09,0.78,26.85,0,2.31,0,,
11,0,0,0,1.54,6.07,41.19,35.23,2.43,0,0,10.55,0.08,1.71,0.22,0.99,0,,
12,17.1,0.96,0,6.1,3.44,40.96,13.57,3.33,0,0,11.54,1.37,0.03,0,1.6,0,923.2891167,44.283867
13,0,1.07,0,10.73,21.8,3.19,33.64,10.27,0,0.65,12.39,0,1.72,0,4.52,0,,
14,5.8,0,0,2.78,15.73,7.25,14.17,43.1,0,0,9.67,0.59,0,0,0.91,0,,
15,0,0,0,3.4,8.47,18.21,27.75,0.19,0,0,32.68,2.54,4.35,0.69,1.71,0,338.6272068,18.4009434
16,0,0,0,7.9,29.22,40.37,1.31,2.59,0,0,10.47,0.34,0,2.14,5.65,0,,
17,7.7,0.26,0,4,6.8,62.03,0,4.31,0,0,11.33,0.24,1.52,0.3,1.51,0,,
18,33.52,0,0,1.56,8.84,10.49,15.85,3.39,0,0,24.56,0.05,0,0,1.74,0,,
19,0.7,0,0,1.64,7.62,30.41,9.39,10.75,0,0,31.75,2.08,5.02,0.64,0,0,99.9823384,41.17208017
1,27.83,0,0,2.14,22.39,10.27,0,4.19,0,1.05,26.59,0.14,0,0,5.4,0,450.5388451,15.50615302
2,23.73,0,4.73,1.25,7.05,18.72,34,0,0,0,8.07,0.01,0,0.07,2.38,0,,
3,23.72,0,0,2.5,12.01,34.5,9.49,0,0,0,15.51,0,0,0.23,2.04,0,,
4,43.77,0,0,3.01,10.73,7,20.06,7.09,0,0,6.64,0,0.71,0,1,0,,
5,66.02,0,0.41,1.52,8.27,1.78,12.76,1.51,0,0,4.74,0,0,0,3,0,,
6,18.35,0.23,6.87,3.73,6.65,27.56,22.35,0.75,0,0,11.01,0,1.12,0.38,0.99,0,,
7,25.02,0,5.83,1.17,7.2,23.09,20.93,0.55,0,0,9.77,0,0.06,0.16,6.24,0,,
8,92.8,0,0,0.86,3.1,0.03,1.71,0.01,0,0,1.16,0,0,0.02,0.29,0,,
1,85.69,0,0.62,2.18,2.97,1.6,2.58,0.47,0,0,2.94,0,0,0,0.96,0,,
2,57.63,0,0.81,12.61,2.95,7.07,8.42,1.74,0,0,7.25,0.02,0.66,0.09,0.76,0,,
3,29.91,0,0.28,2.57,3.15,23.65,29.1,3.79,0,0,6.62,0.02,0.1,0.11,0.72,0,,
4,80.3,0,1.7,1.55,2.31,6.97,3.37,0.07,0,0,2.88,0.09,0.04,0.13,0.59,0,,
5,80.9,0,0,1.8,1.26,11.64,0.27,1.63,0,0,2.17,0,0,0,0.32,0,,
1,0,0,0,1.34,30.96,15.72,0,0,0,0,44.16,0.39,0,0,7.02,0.4,,
2,0,6.6,0,17.79,14.12,31.31,0.7,0,0,0.52,20.48,0.9,5.06,0,2.52,0,458.9288608,31.82816652
3,0,0,0,1.4,11.05,18.06,4.96,0,0,0,57.96,0.18,0,0,6.05,0.33,,
4,0,0,0,29.29,3.16,18.95,0,0,0,0,25.47,3.32,4.08,0,15.72,0,142.4535224,18.95394632
1,0,0,11.73,3.89,15.96,24.71,11.73,20.35,0,0,9.1,0.03,0,0.41,2.09,0,,
2,0,0.66,0,9.94,11.07,48.48,5.47,2.7,1.97,3.36,15.39,0,0,0,0.96,0,,
3,0,0,0,4.35,15.74,23.79,31.79,9.28,0,0,10.31,0.11,0,0.48,4.14,0,,
4,0,0,0,10.83,15.52,48.96,6.7,0.73,0,0,16.58,0,0,0,0.67,0,,
5,29.24,0,0,2.18,6.94,3.21,11.43,12.33,0,0,9.09,0.2,0,0,25.4,0,,
6,23.2,0,6.36,4.06,14.55,11.05,6.36,27.29,0,0,6.66,0,0,0,0.46,0,,
7,0,0,0.74,1.41,9.18,27.91,19.4,12.34,0,0,5.6,0,0,0.27,23.16,0,,
8,14.51,0,1.24,2.44,9.3,29.4,0,11.77,0,0,6.29,0,0,0,25.04,0,,
9,0,0,0,2.09,5.82,67.25,0,4.42,0,0,16.34,0,0,0,4.08,0,50.29371893,71.66248432
10,0,0,0,2.83,15.89,52.82,9.82,4.09,0.59,0,12.54,0,0.15,0.51,0.74,0,,
11,18.57,0,1.72,1.69,11.55,12.97,22.18,9.78,0,0,5.26,0,0.63,0,15.66,0,,
12,0,3.43,0,6.79,10.12,58.26,0,1.62,0.16,1.77,10.77,6.62,0,0,0.45,0,,
13,21.04,0.89,0,3.34,25.42,7.13,10.21,23.48,0,0,7.5,0,0,0.32,0.66,0,,
14,0,0,0,5.1,12.45,30.32,5.13,37.44,0,0,7.03,0,0,0.67,1.85,0,,
15,0,0.26,3.12,6.52,16.1,17.17,21.44,18.01,0,0,13.54,0,0.44,0.35,3.05,0,,
16,0,0,0,0.44,8.09,32.81,29.87,10.47,0,0,14.98,0,0,0.51,2.83,0,,
17,0,0,0,1.8,20.52,28.37,9.56,20.88,0.35,0,17.55,0,0,0,0.97,0,206.2006764,49.57660455
18,0,1.2,0,7.24,14.99,54.83,0.73,2.3,0,0.38,7.24,0,10.11,0.39,0.59,0,,
19,0,0,0,1.64,13.23,55.44,0,2.32,0,0,19.48,0.03,0,0.18,7.69,0,38.44769674,57.75957121
20,0,1.06,0,6.22,12.96,60.09,0,0.17,0,7.66,10.54,0,0,0.37,0.93,0,164.1668468,67.94827586
21,0,0.25,0,4.65,16.71,52.1,3.23,0,0,0,22.59,0,0,0,0.47,0,119.7928994,52.0782347
1,0,1.67,0,3.83,8.34,18.76,30.24,0.43,0,0,24.32,6.97,0.29,0.25,3.47,1.43,351.1240371,19.1808
2,31.67,0,0.47,1.68,3.54,23.07,23.75,0.84,0,0,12.16,0.12,1.84,0.11,0.77,0,,
3,0,0.45,0,10.82,12.84,21.98,24.27,0.29,0,0,25.59,0.25,0.3,1.34,1.87,0,602.0535335,22.26755853
4,0,1.54,0,6.21,19.34,18.81,28.01,0.21,0,0,12.56,0.61,10.74,0.57,1.39,0,,
5,0,0.26,0,4.49,12.1,29.38,31.89,0.57,0,0,17.96,0.76,0.08,1.05,1.45,0,688.1312825,29.94777563
6,0,1.27,0,6.47,25.3,19.58,17.42,1.2,0,0,15.26,1.39,10.3,0.38,1.42,0,,
7,32.6,0,0,2.18,2.32,12.94,17.56,0.14,0,0,26.75,0.86,3.32,0,1.35,0,563.9706247,13.07872928
8,0,16.48,0,15.58,4.96,38.88,10.09,0.54,0,0,12.29,0.06,0,0.68,0.44,0,,
9,0,0.94,0,18.43,28.84,17.1,6.46,0.11,0,0,17.01,0.63,9.3,0,1.17,0,514.1753821,17.2174616
10,15.46,0.35,0,4.61,10.68,26.66,26.34,2.97,0,0.06,10.4,0,0,0.38,2.1,0,,
11,6.3,0,0,1.13,1.01,7.75,53.66,1.81,0,0,15.15,0.95,10.78,0,1.45,0,,
12,13.44,0,0,0.8,4.67,10.26,25.62,0,0,0,41.49,0,0,1.02,2.7,0,314.8277875,10.25878004
13,0,0,0,2.28,5.58,30.59,44,0.56,0,0,15.09,0,0,0.78,1.12,0,,
14,20.52,0,0,5.35,13.84,15.96,26.35,0.48,0,0,15.85,0.23,0.72,0,0.71,0,,
15,0,3.58,0,5.5,15.86,21.22,18.16,0.08,0,0,32.11,0.45,0.59,0.69,1.77,0,247.5617284,21.30050934
16,7.82,0,2.06,1.77,4.8,13.63,43.81,1.64,0,0,21.57,0.13,1.26,0,1.51,0,1081.708806,15.27581582
17,0,0,0,13.58,45.37,4.56,2.18,2.41,0,0,29.03,0.89,0,0.54,1.44,0,,
18,0,0.8,0,3.15,14.27,42.72,15.73,3.21,0,0,17.88,0.67,0.01,0.73,0.82,0,,
19,0,0,0,0,2.97,11.65,0,0,0,0,77.36,4.3,0.15,0,3.56,0,0,11.64262295
1,0,0,0,0.9,31.22,42.37,9.35,0.1,0,0,13.95,0.16,0.44,0,1.51,0,,
2,0,0.55,0,4.45,22.33,12.97,8.12,26.04,0,0,18.57,0.48,1.84,0,4.66,0,,
3,0,0,0,4.17,31.16,7.17,4.83,20.85,0,0,30.06,0.14,0.09,0,1.53,0,,
4,28.71,0,0,1.83,0,44.14,15.84,0.25,0,0,6.08,0.32,0.15,0,2.69,0,,
5,62.03,0,0.26,1.17,5.46,15.51,13.25,0,0,0,1.66,0.08,0,0,0.59,0,,
6,66.92,0,3.46,1.12,3.67,10.42,11.37,0,0,0,1.94,0,0,0.06,1.04,0,,
7,5.66,0,0,2.86,34.7,16.06,1.29,10.09,0,0,24.55,0.28,2.82,0,1.68,0,92.91245051,26.15466791
8,0,0,0,0.08,4.78,68.89,13.43,0,0,0,11.31,0.2,0,0,1.32,0,,
9,22.45,0,4.59,3.18,9.45,26.51,26.03,1.85,0,0,5.21,0.04,0,0,0.7,0,,
10,25.83,0,0,1.03,10.55,21.05,36.15,0,0,0,4.5,0.25,0.19,0.11,0.34,0,,
11,22.67,0,0,3.45,4.99,34.31,18.78,0,0,0,7.64,0.01,7.14,0,1,0,,
12,1.99,0,0.46,3.43,19.9,27.33,4.39,0.89,0,0,36.66,1.42,1.48,0.4,1.65,0,136.6677932,28.21319797
13,0,0,0,0.26,34.61,22.23,14.07,7.84,0,0,18.06,0.03,1.47,0,1.44,0,286.2898517,30.06019871
1,0,0,0,8.6,38.83,11.61,8.97,0.33,0,0,29.96,0.01,0,0,1.69,0,,
2,0,0,0,1.17,12.17,27.54,0.91,0,0,0,54.94,0,0,0,3.27,0,5.636614959,27.48295455
3,0,1.1,0,10.97,44.38,9.71,0,0.38,0,0,31.48,0.19,0,0,1.78,0,,
4,0,0,0,0.93,32.65,7.47,0,0.37,0,0,55.63,0.32,0,0,2.63,0,,
5,0,0,1.81,7.05,26.19,49.45,12.8,0,0,0,0,0,0,0,2.71,0,,
6,0,0,0,2.63,34.19,1.75,0.1,0.51,0,0.08,58.42,0.15,0,0,2.17,0,23.29927932,2.339202966
7,0,5.1,0,11.84,42.05,1.94,0,0.35,0,0.17,37.03,0.53,0,0,0.99,0,,
8,0,1.92,0,17.32,18.52,35.89,0,0,0.35,0,25.81,0.17,0,0,0,0,,
9,0,0,0,9,28.18,26.19,5.71,5.67,0,0,22.63,0.08,0,0,2.54,0,,
10,0,1.52,0,10.29,50.44,0.02,3.33,2.14,1.4,0,25.15,0.18,0,0,5.53,0,232.6219149,3.564003103
11,0,0,0,1.02,23.75,9.09,0,1.15,0,0,62.97,0.16,0,0,1.86,0,,
12,0,0,0,1.53,28.52,12.41,22.08,0,0,0,24.22,3.85,4.79,0,2.6,0,421.1995428,12.41180438
13,0,1.21,0.14,7.71,29.65,0.81,20.63,0.08,0,0.56,36.63,0.1,0.1,0.19,2.39,0,391.7972994,1.446470588
14,0,0,0,0,28.98,3.82,10.34,0.4,0,0,48.03,0.68,0.1,0,7.65,0,29.17368392,4.221153846
15,0,0.94,0,3.64,41.62,13.56,0,2.8,0.68,0,34.76,0,0,0,2.01,0,,
16,0,0,0,0,33.71,20.28,4.67,0.9,0,0,34.91,0.56,0,0,4.97,0,,
17,0,1.65,0.68,10.64,17.8,7.5,17.19,0,0,0,23.9,0,16.93,0,3.7,0,,
18,0,5.39,0,5.78,40.37,3.6,8.07,1.55,0,0,29.25,4.54,0,0,1.46,0,,
19,0,0,0,1.3,41.56,11.67,0,0.61,0,0,43.68,0.18,0,0,1,0,,
20,0,0,0,1.29,28.19,1.59,6.94,1.59,0,0,21.25,0.17,31.29,0,7.68,0,,
21,0,1.64,0,4.14,35.86,2.87,0,2.44,0.68,0,50.12,0.24,0,0,2,0,24.82350077,5.994339623
22,0,0,0,1.98,21.09,19.72,15.34,0.58,0,0,38.68,0.25,0.32,0,2.03,0,206.5245478,20.30623306
23,0,2.77,0,4.99,35.19,0.71,0,0.69,0.84,0,53.26,0,0,0,1.55,0,,
24,0,0,0,1.88,26.31,17.04,42.08,1.17,0,0,9.46,0.02,0.41,0.42,1.21,0,,
25,0,2.32,0,17.7,57.66,1.06,0,0,0,0,20.18,0,0,0,1.08,0,,
26,0,0.33,0.47,2.68,22.84,16.27,18.75,0,0,0,37.97,0.16,0.52,0,0,0,315.5520269,16.27913101
27,0,0,0,0,38.28,7.37,2.64,4.92,0,0,30.65,0.33,6.9,0,8.9,0,32.32965099,12.296
28,0,0,0,2.2,40.53,1.37,26.18,7.98,0,0,17.81,0.17,0,0,3.77,0,,
29,0,0,0,1.19,55.63,2.04,0,0.42,0,0,37.68,0.27,0,0,2.78,0,,
30,0,2.42,0,5.91,51.43,2.31,0,1.2,5.56,0,29.89,0,0,0,1.29,0,,
31,0,0,0,2.41,34.93,11.51,0,0.2,0,0,49.44,0.27,0,0,1.25,0,34.87773488,11.71283355
32,0,0,0,10.07,29.91,14.58,18.64,1.05,0,0,24.21,0.29,0,0,1.24,0,,
33,0,0,0,2.77,17.52,25.27,15.35,1.4,0,0,21.22,0.42,12.7,0,3.36,0,411.5651387,26.66932271
34,0,0,0,0.78,6.66,20.31,0,0,0,0,58.07,6.01,0.42,0,7.75,0,1.413576726,20.31242158
1,5.22,0,1.49,4.49,9.47,21.31,43.21,4.28,0,0,8.94,0.07,0.1,0.33,1.09,0,,
2,54.85,0,0.65,3.36,4.23,8.8,20.72,1.84,0,0,4.86,0,0,0.1,0.59,0,,
3,60.29,0,0,2.25,4.69,13.35,13.58,1.24,0,0,4.11,0,0.07,0,0.42,0,,
4,25.27,0,0.4,4.55,3.82,9.51,33.62,4.95,0,0,16.87,0,0.16,0.18,0.67,0,,
5,12.51,0,5.53,1.46,7.05,27.33,21.89,1.51,0,0,15.02,0.28,6.07,0,1.36,0,1161.459951,28.83629893
6,55.27,0,0.34,1.94,5.39,4.74,24.78,0.79,0,0,6.26,0.02,0.03,0,0.45,0,,
7,30.45,0,0,1.81,10.97,3.96,6.15,36.96,0,0,8.41,0,0,0.6,0.69,0,,
8,81.9,0,1.51,2.36,1.49,1.56,7.58,0,0,0,3.18,0,0,0.03,0.39,0,,
9,21.24,0,0,2.4,5.39,32.26,25.97,0,0,0,8.3,0,3.44,0,0.99,0,,
10,0,0,0,2.56,2.99,11.31,44.26,19.52,0,0,16.55,1.41,0.13,0.32,0.96,0,,
11,39.89,0,0.59,6.49,6.26,0.88,31.23,7.64,0,0,6.35,0,0,0.13,0.54,0,,
12,85.99,0,0,1.9,1.51,2.13,6.35,0.36,0,0,1.54,0,0,0,0.23,0,1999.038954,24.41627907
13,0.59,0,0,5.18,7.1,17.07,34.9,0.76,0,0,29.5,1.13,0.39,0.58,2.81,0,566.8424754,17.83010934
1,0,0,1.28,3.89,16.72,15.04,32,0,0,0,26.45,0.36,0,0.85,3.41,0,,
2,0,0.51,0,5.14,50.72,3.53,12.68,0.65,8.77,0.15,16.05,0.21,0.31,0,1.3,0,,
3,0,10.32,0,0,19.87,12.54,41.89,0.04,0,0,12.21,0.22,0,0.03,2.89,0,,
4,0,0,0,4.4,1.97,18.45,21.53,0,0,0,48.06,1.56,0.89,0,3.14,0,68.76635736,18.44618834
5,0,16.84,0,13.7,32.11,8.57,5.16,0,0,1.91,20.23,0.19,0,0,1.29,0,,
6,0,1.49,0,9.34,25.65,2.66,1.47,0,0,0,39.56,0.34,17.37,0,2.12,0,110.7947625,2.662162162
7,0,0,1.6,5.12,8.8,18.73,14.6,0,0,0,24.51,24.5,0,0,1.36,0.77,367.8439349,18.72561629
8,0,20.58,0,32.26,31.99,2.39,0,0,0,0,11.42,0,0,0,1.37,0,,
9,0,2.33,0,9.21,29.21,13.42,10.55,0,0,0,32.62,0.97,0.18,0,1.52,0,162.8784975,13.40779221
10,0,14,0,5.23,25.11,13.16,14.46,0.43,4.53,0,20.84,0.36,0.08,0,1.8,0,200.8624792,18.12462612
11,0,12.39,3.13,11.29,50.29,3.24,7.37,0,0,0,8.27,0,0,0,4.02,0,,
12,0,5.34,0,26.93,40.71,2.89,0.71,0,0,1.52,17.95,0.11,0,0,3.85,0,,
13,0,4.23,0,59.36,2.86,14.59,5.19,0,0,0,12.82,0.09,0,0,0.87,0,,
14,0,0.92,3.52,8.65,6.52,22.77,10.83,0,0,0.86,32.47,10.58,1.02,0,1.86,0,,
15,0,3.23,0,42.59,15.94,7.89,2.14,0.15,3.87,0,18.86,3.83,0,0,1.51,0,747.2466451,11.91381872
16,0,0.32,0,27.97,26.92,3.3,6.48,0.02,1.58,0,20.34,11.02,0,0,2.05,0,291.7548674,4.892523364
17,0,5.23,0,52.44,28.55,2.74,0.02,0,0,0,9.88,0.05,0,0,1.07,0,1522.641509,2.74335472
18,0,3.32,0,46.61,19.61,7.07,0,0.12,0,0,20.58,0.17,0,0,2.52,0,1094.265594,7.184573003
19,0,0,0,66.64,1,6.31,0,0,0,0,18.55,3.71,0,0,3.78,0,349.8788015,2.468715084
20,0,0,0,62.49,10.45,0,0,0,0,0,24.63,0,0,0,5.44,0,,
1,71.9,0,1.02,1.35,2.21,16.87,2.96,1.63,0,0,1.78,0.08,0,0.02,0.18,0,,
2,84.85,0,0.62,1.83,1.64,1.84,3.71,0.97,0,0,2.95,0,0.81,0.06,0.71,0,,
3,38.23,0,1.43,31.96,5.81,6.9,12.48,0.24,0,0,2.65,0,0,0,0.3,0,,
4,87.46,0,0.25,0.72,2.96,2.78,3.27,0,0,0,2.06,0.01,0,0.06,0.43,0,,
5,50.52,0,3.72,2.01,5.38,24.43,3.74,4.75,0,0,4.69,0.1,0,0.07,0.58,0,,
6,0,0,0,10.15,3.11,13.95,13.06,11.51,0,0,43.38,1.84,0,0.23,2.77,0,182.4643079,25.43786982
7,23.28,0,0,4.25,1.96,24.33,32.93,0.09,0,0,9.79,0,1.43,0.2,1.75,0,,
8,25.65,0,2.14,6.8,6.16,18.24,29.78,3.79,0,0,5.7,0.06,1.05,0,0.65,0,,